thomas_num,thomas_name,id,icpsr,congress,year,st_name,cd,Democrat?,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,LES,LES Rank In Party,Total in Party,Benchmark,Expectations?
126,"Fascell, Dante",930915,3078,93,1973-74,FL,15,1,0,0,0,0,0,40,1,1,1,1,4,1,1,1,0,0.731912971,117,244,1.665719867,Below Expectations
127,"Fauntroy, Walter",93.3,.,93,1973-74,DC,1,.,0,0,0,0,0,30,3,3,2,2,3,0,0,0,0,1.271535516,.,.,1.236718655,Meets Expectations
128,"Findley, Paul",931320,10517,93,1973-74,IL,20,0,0,0,0,0,0,38,1,1,1,1,0,0,0,0,0,0.659426093,34,196,0.433795393,Exceeds Expectations
129,"Fish, Hamilton",933225,12013,93,1973-74,NY,25,0,0,0,0,0,0,58,0,0,0,0,7,0,0,0,0,0.307003498,62,196,0.325492561,Meets Expectations
130,"Fisher, O.",934321,3171,93,1973-74,TX,21,1,1,1,1,1,0,21,1,1,1,1,14,2,2,2,1,1.327145576,80,244,1.828174114,Meets Expectations
131,"Flood, Daniel",933811,3224,93,1973-74,PA,11,1,2,2,2,2,2,23,0,0,0,0,4,1,1,1,1,2.08839345,52,244,1.665719867,Meets Expectations
132,"Flowers, Walter",930107,12014,93,1973-74,AL,7,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.046515681,228,244,0.53788811,Below Expectations
133,"Flynt, John",931006,3242,93,1973-74,GA,6,1,0,0,0,0,0,32,1,1,1,1,1,0,0,0,0,0.629449368,125,244,0.727418065,Meets Expectations
134,"Foley, Thomas",934705,10726,93,1973-74,WA,5,1,1,0,0,0,0,17,3,3,3,1,3,1,1,1,1,1.237086177,85,244,1.530341387,Meets Expectations
135,"Ford, William",932215,10727,93,1973-74,MI,15,1,2,2,2,1,0,29,0,0,0,0,0,0,0,0,0,1.125369072,95,244,1.530341387,Meets Expectations
136,"Ford, Gerald",932205.1,3268,93,1973-74,MI,5,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0.082694538,154,196,0.59624958,Below Expectations
137,"Forsythe, Edwin",933006,12046,93,1973-74,NJ,6,0,0,0,0,0,0,44,0,0,0,0,4,2,2,2,2,0.416755348,51,196,0.298416883,Meets Expectations
138,"Fountain, L.",933302,3321,93,1973-74,NC,2,1,0,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0.249349982,168,244,1.692795634,Below Expectations
139,"Fraser, Donald",932305,10585,93,1973-74,MN,5,1,4,3,3,3,2,119,2,2,2,2,1,0,0,0,0,4.015734673,24,244,0.619115233,Exceeds Expectations
140,"Frelinghuysen, Peter",933005,3364,93,1973-74,NJ,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0.056852497,168,196,0.542098224,Below Expectations
141,"Frenzel, Bill",932303,13015,93,1973-74,MN,3,0,1,0,0,0,0,55,0,0,0,0,1,0,0,0,0,0.295632988,65,196,0.298416883,Meets Expectations
142,"Frey, Lou",930909,12015,93,1973-74,FL,9,0,2,1,1,1,1,93,3,3,3,1,5,0,0,0,0,2.475737333,2,196,0.325492561,Exceeds Expectations
143,"Froehlich, Harold",934908,14014,93,1973-74,WI,8,0,1,1,1,1,1,49,0,0,0,0,1,0,0,0,0,1.190675735,10,196,0.271341175,Exceeds Expectations
144,"Fulton, Richard",934205,10586,93,1973-74,TN,5,1,2,1,1,1,1,72,1,1,1,1,3,0,0,0,0,1.78497982,67,244,0.619115233,Exceeds Expectations
145,"Fuqua, Don",930902,10587,93,1973-74,FL,2,1,1,0,0,0,0,78,0,0,0,0,2,0,0,0,0,0.415540069,149,244,1.557417035,Below Expectations
146,"Gaydos, Joseph",933820,11067,93,1973-74,PA,20,1,0,0,0,0,0,43,0,0,0,0,1,0,0,0,0,0.223275259,178,244,0.53788811,Below Expectations
147,"Gettys, Tom",934005,10728,93,1973-74,SC,5,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.015505226,241,244,1.530341387,Below Expectations
148,"Giaimo, Robert",930703,3553,93,1973-74,CT,3,1,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0.050650407,227,244,0.673266649,Below Expectations
149,"Gibbons, Sam",930907,10588,93,1973-74,FL,7,1,0,0,0,0,0,24,1,1,1,1,3,0,0,0,0,0.59016943,132,244,0.619115233,Meets Expectations
150,"Gilman, Benjamin",933226,14015,93,1973-74,NY,26,0,0,0,0,0,0,38,0,0,0,0,2,0,0,0,0,0.198466897,98,196,0.271341175,Meets Expectations
151,"Ginn, Bo",931001,14016,93,1973-74,GA,1,1,0,0,0,0,0,19,1,1,1,0,7,3,3,3,1,0.604148269,129,244,0.483736724,Meets Expectations
152,"Goldwater, Barry",930527,12037,93,1973-74,CA,27,0,0,0,0,0,0,37,0,0,0,0,8,0,0,0,0,0.199500576,97,196,0.325492561,Meets Expectations
153,"Gonzalez, Henry",934320,10520,93,1973-74,TX,20,1,3,3,3,2,1,33,0,0,0,0,3,0,0,0,0,2.085533619,53,244,0.646190941,Exceeds Expectations
